quadrant,total_count,small_count,medium_count,large_count,size type,latitude,longitude
0:0,726,167,341,218,1,52.437348,0.379331
0:1,712,147,316,249,1,52.437299401153666,0.3794607638684008
0:2,742,150,318,274,1,52.437250802306934,0.3795905275940439
0:3,811,225,358,228,1,52.43720220345979,0.3797202911769249
0:4,421,129,190,102,1,52.437153604612256,0.3798500546170445
0:5,0,0,0,0,1,52.43710500576432,0.3799798179144034
1:0,788,201,368,219,1,52.437268693979846,0.3792514806544526
1:1,850,223,376,251,1,52.43722009513285,0.3793812442898959
1:2,811,186,353,272,1,52.437171496285465,0.37951100778257757
1:3,795,210,330,255,1,52.43712289743767,0.3796407711324983
1:4,425,120,175,130,1,52.437074298589465,0.3797705343396637
1:5,0,0,0,0,1,52.43702569974088,0.3799002974040694
2:0,790,215,335,240,1,52.43718938790516,0.37917196159441297
2:1,853,216,386,251,1,52.437140789057516,0.3793017249968953
2:2,860,228,410,222,1,52.437092190209476,0.3794314882566121
2:3,884,218,394,272,1,52.43704359136104,0.379561251373574
2:4,418,101,191,126,1,52.4369949925122,0.37969101434777663
2:5,0,0,0,0,1,52.43694639366294,0.3798207771792257
3:0,294,64,114,116,2,52.437110081775934,0.3790924428198928
3:1,285,79,124,82,1,52.43706148292764,0.3792222059894107
3:2,300,90,127,83,1,52.437012884078946,0.3793519690161691
3:3,318,52,146,120,1,52.43696428522984,0.37948173190016865
3:4,136,30,50,56,2,52.43691568638033,0.3796114946414151
3:5,0,0,0,0,2,52.43686708753043,0.37974125723990404
4:0,0,0,0,0,2,52.43703077559219,0.3790129243308947
4:1,0,0,0,0,2,52.43698217674325,0.3791426872674546
4:2,0,0,0,0,2,52.436933577893896,0.3792724500612561
4:3,0,0,0,0,2,52.43688497904414,0.3794022127123049
4:4,0,0,0,0,2,52.43683638019398,0.3795319752205916
4:5,0,0,0,0,2,52.43678778134342,0.3796617375861269
